"label","common_name","other_names","description","scientific_name","class_name","order","family","size","habitat","diet","breeding","geographic_range","other_info"
"Agile_wallaby","Agile wallaby","Sandy Wallaby, Grass Wallaby,  River Wallaby","Medium Sized, light brown with paler underneath. Has pale cheek stripe and light stripe on thigh. The edges of ears are black. They live in small social groups."," Macropus agilis","Mammalia","Diprotodontia","Macropodidae","Body = 80cm, and tail = 75cm","Open forests, coastal plains, flood plains and woodlands right across tropical northern Australia.","Native grasses and other plant leaves","Breeding at any time of the year, and single joey born after gestation of 30 days. Stays in the pouch for 7-8 months and is fully weaned at 10-12 months.","Found in tropical areas of western australia and northern territory. Also found in Queesnland and moreton bay island.","N/A"
"Australian_Pelican","Australian Pelican","N/A","The Australian Pelican is an the only pelican in Australia and is an unmistakable large black and white bird.","Pelecanus conspicillatus","Aves","Pelecaniformes","Pelecanidae","Size 1.7m including bill. Wingspan 2.3 m - 2.5 m.","wetlands, lakes, swamps, rivers, coastal islands and shores.","Fish","The nest is a scrape in the ground lined with vegetation or feathers. Lays 1-3 eggs.","Throught Australia","N/A"
"Australian_fur_seal","Australian fur seal","Cape Fur Seal","The Australian Fur Seal is dark brown to brownish grey with mane of coarse hair. Pups black with silver. External ears visible.","Arctocephalus pusillus","Mammalia","Pinnipedia","Otariidae","male 2.0 - 2.3m, female 1.2 - 1.7m","open water up to edge of continental shelf, large bays","Squid, fish, octopus","single pup born. Weaned after 10-11 months.","Bass Strait and coastal waters around Victoria and southern NSW","N/A"
"Australian_magpies","Australian magpies","N/A","The Australian Magpie is a common black and white bird. The neck, upper tail and shoulder are white in males, pale grey in females.","Gymnorhina tibicen","Aves","Passeriformes","Artamidae","Body size upto 40cm.","Anywhere there are trees and open areas.","insects, larvae, scraps and handouts from people","Nest is a platform of sticks and twigs lined with grass and hair. The nest is built high in a tree.","Throught Australia","N/A"
"Bell_Miner","Bell Miner","N/A","A medium-large and solidly-built honeyeater that is the smallest of the miners. It is mostly olive-green, with a short, down-curved, bright yellow bill, a red-orange bare eye patch, and orange-yellow feet and legs","Manorina melanophrys","Aves","Passeriformes","Meliphagidae","Body size upto 20cm","Open eucalypt forests and woodlands with a dense shrubby understorey; occasionally found in suburban areas with remnant bushland.","Omnivore"," Bell miner pairs are monogamous, but the breeding tasks are divided between the sexes. Female bell miners build the nest over 8 days, incubate the 1-3 (but typically 2) eggs for 14.5 days, and brood the young for up to 12 days, depending on the weather.","South-eastern Australia","N/A"
"Black_Swan","Black Swan","N/A","The Black Swan is a large water bird with all black plumage, except for the red bill, dark grey legs and white tips of the wing feathers. Both sexes are similar, with female slightly smaller and lighter than a male. The cygnets have light grey plumage.","Cygnus atratus","Aves","Anseriformes","Anatidae","1.0 - 1.3m in body length. Wing span 1.6-2.0m","Large open waters, flooded pasture, permanent swamps.","Mainly water plants","nests on large mounds build in the middle of a shallow lake. They reuse the same nest each year. 4-7 greenish white eggs.","common in well watered parts of southeast and southwest of Australia.","N/A"
"Black_flying_fox","Black flying fox","Gould's Fruit Bat, Black Fruit Bat","Largest flying-fox. Short black fur over whole body, with reddish fur at back of neck.","Pteropus alecto","Mammalia","Chiroptera","Pteropodidae","Head and body length 24cm - 26cm."," Often camps in mangrove swamps. ","Eucalypts and Melaleucas.","Gives birth to single young in October. The baby is carried by the mother for first fo","Found throughout coastal areas of tropical and subtropical Australia.","N/A"
"Brown_Antechinus","Brown Antechinus","N/A","Small native carnivorous marsupial, greyish-brown above and paler below. Long pointed head with bulging eyes and four pairs of small sharp incisor teeth. Ears are large, thin and crinkly with a notch in the margin.","Antechinus stuartii","Mammalia","Dasyuromorphia","Dasyuridae","Body length upto 14cm, and weighs about 70 grams.","Woodland and forest habitats","Carnivore","Males live for approximately 11 months and have a short breeding cycle of about 2 weeks in winter, after which they die as a result of stress and exhaustion. Females give birth to undeveloped naked young that latch onto teats in the pouch for up to 50 days.","Northern and Eastern Australia.","N/A"
"Brush-tailed_Bettong","Brush tailed Bettong","Woylie","The Brush-tailed Bettong is a small marsupial in the kangaroo family. The body is greyish brown above and paler below.","Bettongia penicillata","Mammalia","Diprotodontia","Potoroidae","Body length about 30cm - 38cm. Tail length about 29cm - 36cm. Weight about 1.1 kg - 1.6kg.","open forests and woodlands with understorey of thick grass or dense low shrubs.","Brush-tailed Bettong eat seeds, roots, plant shoots. They also eat fungus and underground truffles.","A single joey is born after a gestation period of about 21 days. The pouch life is about 3 months. Females can reproduce after about 6 months.","Found in parts of Western Australia and south Australia.","N/A"
"Cassowary","Cassowary","Southern Cassowary","The Cassowary is a large flightless rainforest bird about the size of an Emu. It has brilliant blue and purple head and neck and red wattles. The body has black feathers.","Casuarius casuarius","Aves","Struthioniiformes","Casuariidae","1.2 - 1.5m tall","Thick rainforest","Mainly fruit, berries, vegetation","3 - 5 large pale green eggs laid in nest made of leaves on rainforest floor. The males incubate the eggs and raise the chicks.","Throught Australia","The conservation status in the 2004 IUCN Red List of Threatened Animals is ""vulnerable""."
